id_municipio,municipio,sigla_uf,regiao,populacao,area_km2,pib_mil_reais,vab_agropecuaria,vab_industria,vab_servicos,vab_adm_publica
4209300,Lages,SC,Sul,157158,2637.66,6577420,240400,1298813,3380704,890545
4209409,Laguna,SC,Sul,46424,333.26,1093923,130256,93220,570498,230254
4209458,Lajeado Grande,SC,Sul,1408,65.348,59139,28335,3658,12087,12769
4209508,Laurentino,SC,Sul,7154,79.333,444804,23768,129537,187364,42970
4209607,Lauro Müller,SC,Sul,15380,271.852,418821,48823,102072,152681,88515
4209706,Lebon Régis,SC,Sul,12122,941.64,416800,165854,54324,112207,62185
4209805,Leoberto Leal,SC,Sul,2960,293.6,119785,55114,7669,31542,21642
4209854,Lindóia do Sul,SC,Sul,4530,190.171,151920,78963,9559,30004,27443
4209904,Lontras,SC,Sul,12497,197.586,466218,41001,98154,192804,67560
4210001,Luiz Alves,SC,Sul,13347,260.106,792775,185372,230216,201607,75814
4210035,Luzerna,SC,Sul,5683,117.099,292995,35526,105928,83326,37480
4210050,Macieira,SC,Sul,1757,261.208,59147,28093,4482,8734,16001
4210100,Mafra,SC,Sul,56825,1404.084,2490227,356576,515468,1085597,297160
4210209,Major Gercino,SC,Sul,3465,306.058,62144,15987,5362,14825,23113
4210308,Major Vieira,SC,Sul,8209,520.816,300319,113611,33331,87932,45266
4210407,Maracajá,SC,Sul,7461,62.902,273081,27992,49645,126148,40907
4210506,Maravilha,SC,Sul,26463,170.339,1794179,68494,628961,658210,146974
4210555,Marema,SC,Sul,1703,104.184,97312,58960,2752,15543,17169
4210605,Massaranduba,SC,Sul,17330,374.459,751874,128166,212483,239001,94532
4210704,Matos Costa,SC,Sul,2442,435.391,62590,26709,2730,12893,18318
4210803,Meleiro,SC,Sul,6989,186.439,340386,115204,41942,120232,41733
4210852,Mirim Doce,SC,Sul,2257,337.991,89444,31814,17260,17616,18073
4210902,Modelo,SC,Sul,4227,92.346,170306,47080,32810,52394,25848
4211009,Mondaí,SC,Sul,12034,200.276,1089189,79175,535335,281766,65790
4211058,Monte Carlo,SC,Sul,9945,191.278,233427,54207,44193,64314,58333
4211108,Monte Castelo,SC,Sul,8263,560.743,237437,57035,31228,87533,44921
4211207,Morro da Fumaça,SC,Sul,18095,82.818,922592,16711,360134,301441,101688
4211256,Morro Grande,SC,Sul,2884,260.143,145130,44194,35893,33322,21274
4211306,Navegantes,SC,Sul,85734,111.377,6143029,138103,1013213,2910950,495145
4211405,Nova Erechim,SC,Sul,5163,65.087,248377,60835,56167,81070,31585
4211454,Nova Itaberaba,SC,Sul,4327,137.388,189439,42747,55346,40191,28887
4211504,Nova Trento,SC,Sul,15010,402.852,691559,23443,330221,187247,78783
4211603,Nova Veneza,SC,Sul,15515,295.061,1074610,114355,378007,353832,87589
4211652,Novo Horizonte,SC,Sul,2366,151.722,119844,42781,25358,26465,17162
4211702,Orleans,SC,Sul,23161,549.859,1188044,152445,326660,424858,129321
4211751,Otacílio Costa,SC,Sul,19201,847.253,998100,127280,390055,258871,118179
4211801,Ouro,SC,Sul,7251,213.543,252631,95435,24856,74519,41740
4211850,Ouro Verde,SC,Sul,2197,188.568,137266,74510,4115,36254,17302
4211876,Paial,SC,Sul,1444,86.048,58314,21085,4617,13081,14903
4211892,Painel,SC,Sul,2352,738.331,84941,48032,2389,14479,17930
4211900,Palhoça,SC,Sul,178679,394.85,8210037,51110,1158658,4245621,1022737
4212007,Palma Sola,SC,Sul,7321,330.878,332287,96306,12033,153513,43614
4212056,Palmeira,SC,Sul,2673,289.097,187897,66429,55811,30195,21428
4212106,Palmitos,SC,Sul,16144,351.051,913813,269137,58690,429786,81902
4212205,Papanduva,SC,Sul,19521,764.737,853826,199739,188620,293591,97692
4212239,Paraíso,SC,Sul,3284,180.338,143301,43924,28162,36931,23525
4212254,Passo de Torres,SC,Sul,9269,92.638,237368,28781,19958,119723,53194
4212270,Passos Maia,SC,Sul,4072,617.092,175185,102387,10860,28027,27749
4212304,Paulo Lopes,SC,Sul,7642,446.165,250073,39666,28558,118372,45716
4212403,Pedras Grandes,SC,Sul,3931,159.891,243931,59675,62213,71958,26323
4212502,Penha,SC,Sul,34022,57.752,1037153,66822,121453,551779,197201
4212601,Peritiba,SC,Sul,2733,96.168,120957,30537,15847,46292,19602
4212650,Pescaria Brava,SC,Sul,10225,106.853,119468,5294,10430,43533,54237
4212700,Petrolândia,SC,Sul,5873,306.76,223564,86523,20709,69276,33952
4212809,Balneário Piçarras,SC,Sul,24385,99.355,1513947,59633,233847,667487,160299
4212908,Pinhalzinho,SC,Sul,21103,128.726,1514219,84313,575318,538923,120275
4213005,Pinheiro Preto,SC,Sul,3635,61.011,227282,40509,65359,58766,25547
